statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Factorce is a therman.,factorce,therman,"khark, advision",0,0,0,1,0,instances,1,0,0
Vills is not a goalitrate.,vills,goalitrate,"goalitrate, flate",0,1,0,1,0,instances,1,0,0
Prescabi is not an enuhindlasse.,prescabi,enuhindlasse,"enuhindlasse, procese",0,1,0,1,0,instances,0,1,0
Nigglia is a cologist.,nigglia,cologist,"cologist, cundumpt",0,0,0,1,0,instances,0,0,1
Waistace is a diredontiff.,waistace,diredontiff,"diredontiff, ptor",0,0,0,1,0,instances,0,0,1
Intess is a unist.,intess,unist,"unist, aracase",0,0,0,1,0,instances,1,0,0
Contre is a midazola.,contre,midazola,"midazola, palaxon",0,0,0,1,0,instances,1,0,0
Quation is ress.,quation,ress,"madrive, acted text",0,0,0,1,0,instances,1,0,0
Quination is a lantate.,quination,lantate,"jolsheep, adducatin",0,0,0,1,0,instances,0,0,1
Solverogen is not a homerina.,solverogen,homerina,"amphage, lenoon",0,1,0,1,0,instances,1,0,0
Dostab is a scencer.,dostab,scencer,"femattant, scencer",0,0,0,1,0,instances,1,0,0
Infring is not a greenstel.,infring,greenstel,"spectnes, hemicard",0,1,0,1,0,instances,0,0,1
Allroom is not a mileome.,allroom,mileome,"tournabing, wadstoyer",0,1,0,1,0,instances,1,0,0
Kneelief is not a conterin.,kneelief,conterin,"conterin, recium",0,1,0,1,0,instances,1,0,0
Cornograph is a gaucheading.,cornograph,gaucheading,"ploman, gaucheading",0,0,0,1,0,instances,1,0,0
Mozawa is not goodmas.,mozawa,goodmas,"goodmas, produs",0,1,0,1,0,instances,0,0,1
Poding is not a jazzman nation.,poding,jazzman nation,"pland, midriver",0,1,0,1,0,instances,0,0,1
Cochirrup is not a willowl.,cochirrup,willowl,"waisteringlionas, willowl",0,1,0,1,0,instances,0,1,0
Turbox is not an abbershiter.,turbox,abbershiter,"fulmargy, disness",0,1,0,1,0,instances,0,0,1
Sconter is not a cologent.,sconter,cologent,"pathwayman, gliatrione",0,1,0,1,0,instances,1,0,0
Scontifa is not a pomplie.,scontifa,pomplie,"pomplie, alligrapp",0,1,0,1,0,instances,0,0,1
Madnes is dutchbanks.,madnes,dutchbanks,"dutchbanks, adducatin",0,0,0,1,0,instances,1,0,0
Hoopecidium is a depiece.,hoopecidium,depiece,"microusness, calist",0,0,0,1,0,instances,0,1,0
Junky is a unist.,junky,unist,"unist, philoh",0,0,0,1,0,instances,1,0,0
Railion is not a scanover.,railion,scanover,"scanover, vistwad",0,1,0,1,0,instances,0,1,0
Djibouller is not an enging.,djibouller,enging,"enging, jolsheep",0,1,0,1,0,instances,1,0,0
Rectan is a tubfulmark.,rectan,tubfulmark,"civills, cator",0,0,0,1,0,instances,0,1,0
Croops is bewis.,croops,bewis,"buncient, typefacer",0,0,0,1,0,instances,1,0,0
Oldfistern is not an ania.,oldfistern,ania,"clard, sember",0,1,0,1,0,instances,1,0,0
Viewellish is a rety.,viewellish,rety,"hemoglobbina, schorebuker",0,0,0,1,0,instances,1,0,0
Visorist is not a congdoer.,visorist,congdoer,"ploman, congdoer",0,1,0,1,0,instances,1,0,0
Suspens is not a debravertoney.,suspens,debravertoney,"droctor, skulduggermer",0,1,0,1,0,instances,0,1,0
Throner is not an impirari.,throner,impirari,"sequelix, hape",0,1,0,1,0,instances,1,0,0
Factori is a veilitting.,factori,veilitting,"sapiece, danation",0,0,0,1,0,instances,0,1,0
Genings is not an accomple.,genings,accomple,"accomple, stargand",0,1,0,1,0,instances,0,0,1
Koperier is not a madriva.,koperier,madriva,"aquination, lantate",0,1,0,1,0,instances,1,0,0
Grocea is a lifterpetree.,grocea,lifterpetree,"dancian, stariality",0,0,0,1,0,instances,0,1,0
Decoastruce is a lockboat.,decoastruce,lockboat,"lockboat, adverdion",0,0,0,1,0,instances,1,0,0
Nectrotton is abrupleties.,nectrotton,abrupleties,"motoriger, harkov",0,0,0,1,0,instances,0,0,1
Fatsmanna is an amorak.,fatsmanna,amorak,"amorak, priva",0,0,0,1,0,instances,0,0,1
Blastenet is an anist.,blastenet,anist,"goldber, pichton",0,0,0,1,0,instances,0,0,1
Mov is not a raventry.,mov,raventry,"halender, raventry",0,1,0,1,0,instances,1,0,0
Litrine is spectnes.,litrine,spectnes,"civitudence, pogenderchenko",0,0,0,1,0,instances,0,0,1
Gibler is an afring.,gibler,afring,"ordunction, afring",0,0,0,1,0,instances,1,0,0
Stelapse is not a learship.,stelapse,learship,"philoh, learship",0,1,0,1,0,instances,1,0,0
Cyborak is not a pretent.,cyborak,pretent,"diomyosauter, repairbalk",0,1,0,1,0,instances,1,0,0
Nairoception is a pogenest.,nairoception,pogenest,"mortinuit, amert",0,0,0,1,0,instances,1,0,0
Monessing is a meyeglading.,monessing,meyeglading,"breakine, meyeglading",0,0,0,1,0,instances,0,0,1
Nuden is not a cologent.,nuden,cologent,"breakine, accomfitting",0,1,0,1,0,instances,1,0,0
Proppoinia is a qadductor.,proppoinia,qadductor,"qadductor, aircator",0,0,0,1,0,instances,1,0,0
Cornograph is not a diplie.,cornograph,diplie,"ploman, gaucheading",0,1,0,1,0,instances,0,0,1
Kapole is a formera.,kapole,formera,"formera, nearium",0,0,0,1,0,instances,0,1,0
Ortimber is a uratorepuce.,ortimber,uratorepuce,"oble, cal batso",0,0,0,1,0,instances,0,0,1
Caliness is a pogenderchenko.,caliness,pogenderchenko,"pogenderchenko, insis",0,0,0,1,0,instances,0,1,0
Grumberez is not a sycambiquelator.,grumberez,sycambiquelator,"egyptory, sycambiquelator",0,1,0,1,0,instances,0,1,0
Icebee is not a painitor.,icebee,painitor,"vaposer, dronenet",0,1,0,1,0,instances,0,0,1
Asmodiaz is an athespocker.,asmodiaz,athespocker,"athespocker, sologue",0,0,0,1,0,instances,0,0,1
Jalais is not a cundumpt.,jalais,cundumpt,"commentist, uratorepuce",0,1,0,1,0,instances,0,1,0
Trantion is an explouvre.,trantion,explouvre,"ballonishment, prottlee",0,0,0,1,0,instances,0,0,1
Trister is a pecient.,trister,pecient,"pecient, maesthent",0,0,0,1,0,instances,0,0,1
Insiddless is a ptor.,insiddless,ptor,"therman, sucrome",0,0,0,1,0,instances,0,1,0
Descudding is a dubridol.,descudding,dubridol,"popecidity, prepuble",0,0,0,1,0,instances,1,0,0
Harlation is a captabiling.,harlation,captabiling,"gresian, captabiling",0,0,0,1,0,instances,0,1,0
Spriness is not a debravertoney.,spriness,debravertoney,"debravertoney, ful",0,1,0,1,0,instances,1,0,0
Waisterer is not a veilitting.,waisterer,veilitting,"conountry, noblement",0,1,0,1,0,instances,0,1,0
Viewellish is not a lawren.,viewellish,lawren,"hemoglobbina, schorebuker",0,1,0,1,0,instances,1,0,0
Flunkers is not a goldfiel.,flunkers,goldfiel,"goldfiel, hobbergee",0,1,0,1,0,instances,1,0,0
Salia is not a pretent.,salia,pretent,"pretent, stariality",0,1,0,1,0,instances,1,0,0
Midana is not a pianologistone.,midana,pianologistone,"provicecrash, strigeretiden",0,1,0,1,0,instances,0,1,0
Poding is not a pland.,poding,pland,"pland, midriver",0,1,0,1,0,instances,1,0,0
Mooche is a lenoon.,mooche,lenoon,"schorebuker, diatrole",0,0,0,1,0,instances,1,0,0
Empher is oxiousness.,empher,oxiousness,"relapis, hologuerion",0,0,0,1,0,instances,0,1,0
Edware is not a cring.,edware,cring,"cring, civitudence",0,1,0,1,0,instances,0,1,0
Mujahed is a jutany.,mujahed,jutany,"softre, jutany",0,0,0,1,0,instances,1,0,0
Acroone is a mourmetron.,acroone,mourmetron,"mourmetron, impresett",0,0,0,1,0,instances,0,0,1
Dudgework is not a clard.,dudgework,clard,"clard, prel",0,1,0,1,0,instances,1,0,0
