statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Mandelstam is a dr..,mandelstam,dr.,poet,0,0,1,0,0,instances,1,0,0
Redford is not a thespian.,redford,thespian,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,1,1,0,0,instances,1,0,0
Redford is a movie maker.,redford,movie maker,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",1,0,1,0,0,instances,1,0,0
Decalogue is not a european country.,decalogue,european country,commandment,1,1,1,0,0,instances,1,0,0
Kazak is a civil rights worker.,kazak,civil rights worker,"asian country, asian nation",0,0,1,0,0,instances,1,0,0
Obama is not a chief executive.,obama,chief executive,"chief executive, president, president of the united states, united states president",0,1,1,0,0,instances,0,0,1
Richelieu is a high priest.,richelieu,high priest,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",1,0,1,0,0,instances,1,0,0
Macedon is a geographic region.,macedon,geographic region,"geographic region, geographic area, geographical area, geographical region",1,0,1,0,0,instances,1,0,0
Kharkov is metropolis.,kharkov,metropolis,"city, metropolis, urban center",1,0,1,0,0,instances,0,1,0
Campbell is a mythologist.,campbell,mythologist,mythologist,1,0,1,0,0,instances,0,1,0
Taylor is not an asian country.,taylor,asian country,"music critic, composer",1,1,1,0,0,instances,1,0,0
Loeb is not a physiologist.,loeb,physiologist,physiologist,0,1,1,0,0,instances,1,0,0
Macedon is not a geographical area.,macedon,geographical area,"geographic region, geographic area, geographical area, geographical region",0,1,1,0,0,instances,1,0,0
Haifa is not a nuclear physicist.,haifa,nuclear physicist,"port, urban center, metropolis, city",1,1,1,0,0,instances,1,0,0
Schweitzer is not a diarist.,schweitzer,diarist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,1,1,0,0,instances,1,0,0
Matthew is a lexicologist.,matthew,lexicologist,"apostle, evangelist, saint",0,0,1,0,0,instances,1,0,0
Swaziland is an african country.,swaziland,african country,"african country, african nation",1,0,1,0,0,instances,0,1,0
Gambia is not an architect.,gambia,architect,"african country, african nation",1,1,1,0,0,instances,0,0,1
Menuhin is not a fiddler.,menuhin,fiddler,"fiddler, violinist",0,1,1,0,0,instances,0,0,1
Puglia is not an italian region.,puglia,italian region,italian region,0,1,1,0,0,instances,0,0,1
Hildebrand is not a catholic pope.,hildebrand,catholic pope,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",0,1,1,0,0,instances,1,0,0
Morton is not an urban center.,morton,urban center,"jazz musician, jazzman",1,1,1,0,0,instances,1,0,0
Decalogue is an astronomer.,decalogue,astronomer,commandment,0,0,1,0,0,instances,1,0,0
Cash is a singer.,cash,singer,"vocalizer, vocalist, vocaliser, singer",1,0,1,0,0,instances,1,0,0
Cash is a vocalizer.,cash,vocalizer,"vocalizer, vocalist, vocaliser, singer",1,0,1,0,0,instances,1,0,0
Qaddafi is not a king of great britain.,qaddafi,king of great britain,leader,1,1,1,0,0,instances,1,0,0
Gregory is a vicar of christ.,gregory,vicar of christ,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,0,1,0,0,instances,1,0,0
Debs is not a labor organizer.,debs,labor organizer,"labor organizer, organiser, organizer",0,1,1,0,0,instances,1,0,0
Rushmore is not an egyptian deity.,rushmore,egyptian deity,mountain peak,1,1,1,0,0,instances,0,1,0
Lisbon is a lord.,lisbon,lord,"national capital, port",0,0,1,0,0,instances,1,0,0
Chennai is not a chemist.,chennai,chemist,"city, metropolis, urban center",1,1,1,0,0,instances,0,1,0
Richelieu is a pope.,richelieu,pope,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",0,0,1,0,0,instances,1,0,0
Coppola is a movie maker.,coppola,movie maker,"film maker, film producer, filmmaker, movie maker",1,0,1,0,0,instances,0,0,1
Bushnell is not a vocalist.,bushnell,vocalist,"artificer, discoverer, inventor",1,1,1,0,0,instances,1,0,0
Loyola is a theologist.,loyola,theologist,"theologian, theologiser, theologist, theologizer, saint",1,0,1,0,0,instances,1,0,0
Graf is not tennis player.,graf,tennis player,tennis player,0,1,1,0,0,instances,0,0,1
Oldfield is not an automobile driver.,oldfield,automobile driver,"automobile driver, race driver, racer",0,1,1,0,0,instances,0,1,0
Alger is not an author.,alger,author,"author, writer",0,1,1,0,0,instances,1,0,0
